date,data_class,data_field_display_name,data_field,county_name,full_fips,unit,uer_id,utility_display_name,value,number_of_accounts,humidity%,temp (°C),speed (m/s),W/m²
2021-07-08,electricity,DER_FW_RNM,ny_der_30,Monroe,36055,MW,9,RG&E,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_OTHER_RNM,ny_der_48,Madison,36053,MW,5,National Grid,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,Industrial Consumption (I),9_nat_consumption,Madison,36053,MWh,5,National Grid,6888.44,21,86.89,21.42,1.1,1.96
2021-07-08,electricity,ICAP Capacity Tag (R),1_ny_policy_support,Livingston,36051,MW,5,National Grid,34.94,14541,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_WIND_RNM,ny_der_18,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_HYDRO_All,ny_der_19,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_TOTALS_CDG,ny_der_2,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_TOTALS_RNM,ny_der_6,Livingston,36051,MW,5,National Grid,3.1,11,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_HYDRO_CDG,ny_der_20,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_HYDRO_NM/Onsite,ny_der_21,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,Residential Consumption (R),1_nat_consumption,Monroe,36055,MWh,9,RG&E,205077.55,254313,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_OTHER_NM/Onsite,ny_der_45,Monroe,36055,MW,5,National Grid,0.01,1,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_HYDRO_Other,ny_der_22,Livingston,36051,MW,6,NYSEG,0.0,0,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_TOTALS_CDG,ny_der_2,Livingston,36051,MW,5,National Grid,5.04,2,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_PV_CDG,ny_der_8,Livingston,36051,MW,5,National Grid,5.04,2,86.89,21.42,1.1,1.96
2021-07-08,electricity,DER_PV_NM/Onsite,ny_der_9,Madison,36053,MW,6,NYSEG,0.49,58,86.89,21.42,1.1,1.96
